"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"2367",123471,201510170046,2015,10,17,0,182,11,3.926858,41.877171,1,1,1,1,1,0,0,1,0,4,1,7,182,0,0,13,23,0,4
"2368",129510,201605030009,2016,5,3,0,95,10,36.354145,43.14357,1,1,1,1,0,1,1,0,1,3,4,34,95,0,0,6,13,1,8
"2369",88542,201209040006,2012,9,4,0,4,6,36.947212,65.12693,1,0,1,1,1,0,0,0,0,1,2,18,4,0,0,5,5,1,1
"2370",40042,199202040016,1992,2,4,0,159,3,-5.238991,-79.450699,3,0,1,1,1,0,0,1,0,2,3,22,159,0,0,5,2,0,8
"2371",97197,201309230004,2013,9,23,0,160,5,13.165868,123.638614,1,0,1,1,1,0,0,1,0,2,2,21,160,0,0,5,5,0,3
"2372",312,197007040001,1970,7,4,0,217,1,40.697132,-73.931351,1,0,1,1,1,0,0,1,0,3,1,7,217,0,0,6,16,0,1
"2373",76392,201002230011,2010,2,23,0,95,10,36.354145,43.14357,1,0,1,1,1,0,0,1,0,3,3,23,95,0,0,6,29,1,1
"2374",62021,200502080003,2005,2,8,0,92,6,33.939181,74.63913,3,0,1,1,1,0,0,1,0,1,2,18,92,0,0,5,5,1,2
"2375",127781,201603060043,2016,3,6,0,153,6,34.531832,71.029732,1,0,1,1,0,1,0,1,0,3,4,27,153,0,0,6,11,0,3
"2376",13172,198206200005,1982,6,20,0,185,8,41.400635,2.150913,1,0,1,1,1,0,0,0,0,1,3,25,185,1,0,5,3,0,4
"2377",733,197106180002,1971,6,18,0,217,1,40.697132,-73.931351,1,0,1,1,1,0,0,1,0,2,1,3,217,0,0,5,3,0,5
"2378",133518,201609100032,2016,9,10,0,4,6,34.741764,70.286812,1,0,1,1,1,0,0,1,0,3,14,76,4,0,0,6,11,2,8
"2379",97967,201310220030,2013,10,22,0,137,11,-17.862136,34.597132,1,0,1,1,1,0,0,1,0,2,3,22,137,0,0,5,5,0,7
"2380",23064,198608010006,1986,8,1,0,159,3,-7.53,-78.091111,2,0,1,1,1,0,0,1,0,1,14,72,159,0,0,9,23,4,1
"2381",28729,198810120006,1988,10,12,0,110,10,33.888523,35.503513,1,0,1,1,0,1,0,1,0,3,4,36,200,0,0,6,16,0,8
"2382",35534,199010250011,1990,10,25,0,160,5,14.596051,120.978666,1,0,1,1,1,0,0,0,0,3,2,21,160,0,0,6,7,0,1
"2383",45317,199406220001,1994,6,22,0,209,10,36.854646,28.271809,1,0,1,1,1,0,0,1,0,3,20,108,209,0,0,6,16,0,1
"2384",128673,201604050030,2016,4,5,0,200,10,33.611455,36.75523,1,1,1,1,0,1,0,1,1,3,4,34,200,0,0,6,15,17,1
"2385",133931,201609250003,2016,9,24,0,182,11,4.73538,45.2024,1,0,1,1,1,0,0,1,0,3,4,36,182,0,0,6,7,0,7
"2386",38796,199110110002,1991,10,11,0,43,3,-33.366238,-70.505302,1,0,1,1,1,0,0,1,0,3,15,86,217,0,0,6,16,0,7
"2387",116063,201503010124,2015,3,1,0,95,10,33.420948,43.295662,1,0,1,1,1,0,0,1,0,3,14,75,95,0,0,6,11,0,1
"2388",3726,197703290007,1977,3,29,0,209,10,38.395649,27.135641,1,0,1,1,1,0,0,1,0,3,7,45,217,0,0,5,2,0,6
"2389",36444,199102140001,1991,2,14,0,11,3,-37.201728,-59.84107,4,0,1,1,1,0,0,1,0,3,15,86,217,0,0,6,16,0,3
"2390",130143,201605210019,2016,5,21,0,229,11,1.046619,29.092653,1,0,1,1,1,0,0,1,0,2,14,75,229,0,0,5,5,0,3
"2391",96703,201309030029,2013,9,3,0,182,11,3.115641,43.64658,1,0,1,1,1,0,0,1,0,2,14,68,182,0,0,5,3,1,3
"2392",52555,199706180023,1997,6,18,0,45,3,3.88182,-77.07042,1,0,1,1,1,-9,0,1,0,6,2,15,45,0,0,13,24,0,4
"2393",74583,200908140012,2009,8,14,1,153,6,32.306099,69.579956,1,0,1,1,1,0,0,1,0,6,10,53,153,0,0,5,5,0,1
"2394",118126,201505040004,2015,5,4,1,160,5,8.745833,123.222222,1,0,1,1,1,0,0,1,0,1,2,15,160,0,0,5,5,1,2
"2395",85184,201203190018,2012,3,18,0,92,6,18.364195,81.892418,1,0,1,1,1,0,0,1,0,3,2,21,92,0,0,6,8,0,3
"2396",17898,198406220003,1984,6,22,0,83,2,14.622869,-90.529068,1,0,1,1,1,-9,0,1,0,1,3,25,83,0,0,5,2,1,7
"2397",70003,200806210007,2008,6,21,1,182,11,2.052013,45.27065,1,1,1,1,1,0,0,1,0,6,7,47,182,0,0,5,5,0,3
