"","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","nwound","property","Cluster"
"5541",2006,8,26,1,147,11,4.815554,7.049844,1,0,1,1,1,0,0,1,0,6,1,1,145,0,0,5,5,1,0,0,6
"5542",2000,7,13,0,185,8,42.815372,-1.653616,1,0,1,1,1,0,0,1,0,3,2,15,185,0,0,6,16,0,0,1,6
"5543",2005,10,13,1,167,9,43.484122,43.627361,1,0,1,1,1,0,1,1,0,2,1,7,167,0,0,5,2,10,18,1,6
"5544",2014,4,7,0,214,9,49.97578,36.268193,1,0,1,1,1,0,0,1,0,7,10,55,214,0,0,13,23,0,0,1,8
"5545",2014,10,9,0,95,10,33.74324,44.623825,1,0,1,1,1,0,0,1,1,3,3,24,95,0,0,6,15,10,10,-9,2
"5546",2004,9,20,0,95,10,32.982933,44.361595,1,0,1,1,1,0,0,1,0,2,8,49,95,0,0,5,2,4,7,-9,2
"5547",2014,4,10,0,92,6,24.203574,84.855037,3,0,1,1,1,0,1,0,0,3,2,19,92,0,0,6,16,0,0,0,6
"5548",1988,6,7,0,159,3,-9.529924,-77.5288,1,0,1,1,1,0,0,1,0,3,18,98,159,0,0,6,16,0,0,1,7
"5549",1994,12,23,0,44,4,39.905556,116.395833,1,0,1,1,1,0,0,1,0,3,19,99,44,0,0,6,16,1,2,1,5
"5550",2014,5,20,0,4,6,34.285278,70.386111,2,0,1,1,0,1,0,1,0,2,4,34,4,0,0,5,6,13,7,0,6
"5551",2005,4,4,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,1,0,7,2,15,95,0,0,8,18,0,0,1,8
"5552",1980,11,3,0,43,3,-33.366238,-70.505302,1,0,1,1,1,0,0,1,0,2,1,3,43,0,0,5,2,0,1,1,7
"5553",2010,7,30,0,205,5,13.727896,100.524124,3,0,1,1,1,0,0,1,0,3,14,67,205,0,0,6,7,0,1,0,5
"5554",2015,5,28,0,195,11,12.057186,24.878695,1,0,1,1,1,0,0,1,0,5,14,65,195,0,0,5,5,1,6,0,5
"5555",1972,6,15,0,428,5,13.977956,108.002298,1,0,1,1,1,0,0,1,0,3,6,42,89,0,0,6,16,81,0,1,6
"5556",1980,10,31,0,45,3,10.981412,-74.778319,1,0,1,1,1,0,0,0,0,1,2,15,45,0,0,6,16,0,2,0,7
"5557",2008,1,7,0,4,6,31.002735,66.405617,1,0,1,1,1,0,0,1,1,3,3,25,4,0,0,6,15,2,4,-9,2
"5558",2014,12,27,0,200,10,36.081879,37.368999,1,1,1,1,0,1,0,0,0,9,4,36,200,0,0,13,21,0,0,0,8
"5559",2008,8,15,0,92,6,33.313294,75.763367,1,0,0,1,1,1,0,1,0,6,14,67,92,0,0,13,23,0,0,0,8
"5560",1990,5,25,0,78,8,37.99749,23.762728,1,0,1,1,1,-9,0,1,0,3,14,73,78,0,0,6,16,0,1,1,3
"5561",2015,12,19,0,95,10,34.166004,43.905515,3,0,1,1,1,0,0,1,0,3,14,69,95,0,0,6,11,0,2,-9,2
"5562",1994,6,13,0,130,1,20.673343,-103.344177,1,0,1,1,1,0,0,1,0,3,1,8,130,0,0,6,15,5,12,1,7
"5563",2016,2,18,1,228,10,7.733107,-76.60617,5,0,1,1,1,0,0,1,0,6,10,53,228,0,0,13,23,0,1,0,8
"5564",2017,11,17,0,200,10,35.464344,40.669575,1,0,1,1,1,0,0,1,1,3,14,65,200,0,0,6,15,21,30,-9,2
"5565",2017,8,25,0,138,5,20.823738,92.370789,1,0,1,1,1,0,1,1,0,3,3,22,138,0,0,6,17,3,1,-9,2
"5566",2011,6,1,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,0,0,1,2,18,95,0,0,6,15,0,2,1,6
"5567",2016,5,10,1,92,6,27.507812,95.907251,2,0,1,1,1,0,0,1,0,6,1,9,92,0,0,5,5,0,1,0,6
"5568",1987,6,25,0,43,3,-33.366238,-70.505302,1,0,1,1,1,0,0,1,0,2,3,22,43,0,0,5,2,0,0,1,7
"5569",1978,12,1,0,230,11,-4.389166,14.251636,5,1,1,1,1,0,0,1,0,3,19,100,230,0,0,6,16,0,0,1,5
"5570",2014,8,3,0,603,8,54.30954,-7.73198,1,0,1,1,1,0,0,0,0,7,1,10,233,0,0,8,19,0,0,0,8
"5571",2016,11,4,0,205,5,6.052214,101.97088,1,0,1,1,1,0,1,1,0,3,3,25,205,0,0,6,17,0,0,-9,2
"5572",2016,2,18,0,95,10,34.897027,43.806586,1,0,1,1,1,0,0,1,0,3,1,1,95,0,0,6,11,8,6,0,6
"5573",2017,8,25,0,95,10,32.16616,39.351804,2,1,1,1,1,0,0,1,0,3,3,23,95,0,0,6,16,1,5,-9,2
"5574",1979,8,0,0,61,2,13.69288,-89.199161,1,0,1,1,1,0,1,1,0,3,1,5,61,0,0,6,16,0,0,1,7
"5575",2013,8,25,0,95,10,34.010471,44.148235,1,0,1,1,1,0,0,0,0,1,2,14,95,0,0,6,15,3,12,1,6
